"","DATE","OPINION","PROS","CONS","company"
"814","Store Assistant/Cashier (Former Employee) - Wisbech, Cambridgeshire - 27 May 2020","FAR too many people in charge. ","Pay is good if you aren't on days. Paid lunch.","Can eat into your free time. Rota","ALDI"
"815","Store Assistant (Former Employee) - Archway Station - 25 May 2020",NA,"zero","everything","ALDI"
"816","Stock Assistant (Former Employee) - Dinnington, South Yorkshire - 25 May 2020","In a normal day you get one 30 minute break.","Friendly and helpful staff and management","None","ALDI"
"817","Order Picker (Former Employee) - Logstics North Bolton - 25 May 2020",NA,"Professional, good cultural vibe, 1 hour lunches and benefits.","No discount, No progression, too many levels of management bought in.","ALDI"
"818","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","Pay is good if you aren't on days. Paid lunch.","Good pay and staff","None","ALDI"
"819","Store Assistant (Former Employee) - Billingham, North Yorkshire - 11 June 2020","Can eat into your free time. Rota","Great pay for a supermarket. With the right management a really nice place to work.","Not all managers are the same unfortunately.","ALDI"
"820","Apprentice (Former Employee) - Dover, Kent - 11 June 2020","Great place to work","Nothing","Poor Management, Toxic Environment","ALDI"
"821","Store Assistant (Former Employee) - 2 different locations - 11 June 2020","Great customers ","Pay is good if you aren't on days. Paid lunch.","Can eat into your free time. Rota","ALDI"
"822","Warehouse Operative (Former Employee) - Sawley, Leicestershire - 11 June 2020","hardest part was timings and keeping up the pace","zero","everything","ALDI"
"823","Selector (Former Employee) - Goldthorpe, South Yorkshire - 11 June 2020","enjoyable part was working with colleges and helping and working within a team","Friendly and helpful staff and management","None","ALDI"
"824","Store Assistant (Former Employee) - Witham, Essex - 10 June 2020",NA,"Professional, good cultural vibe, 1 hour lunches and benefits.","No discount, No progression, too many levels of management bought in.","ALDI"
"825","Store Assistant (Former Employee) - Thornton liverpool - 9 June 2020","Hirendous place to work. I worked here for 6 months and I couldn't take it anymore. I was frequently talked down to and Im talking every 5 minutes. Once I was even asked why Ive been the toilet more than usual and I got told off for not saying good morning to the store manager! Honestly he thought he was god. You don't get a minute to yourself. Managers are all on their high horse and its just an extremely toxic environment. I worked at the Thornton store in Liverpool. Really dont recommend. I could go on all day how bsd it is. Ive since found a new job and theres no comparison! Dont apply if you value your self respect","Good pay and staff","None","ALDI"
"826","Dep store manager (Current Employee) - Shirley, West Midlands - 8 June 2020",NA,"Great pay for a supermarket. With the right management a really nice place to work.","Not all managers are the same unfortunately.","ALDI"
"827","Cleaner (Current Employee) - Darlington, Durham - 7 June 2020","zero","Nothing","Poor Management, Toxic Environment","ALDI"
"828","assistant (Former Employee) - Congleton - 6 June 2020","everything","Pay is good if you aren't on days. Paid lunch.","Can eat into your free time. Rota","ALDI"
"829","Housekeeper/Cleaner (Former Employee) - Musselburgh, East Lothian - 4 June 2020","Great team atmosphere, good environment to learn all aspects of retail store management.","zero","everything","ALDI"
"830","Customer Assistant/Cashier (Former Employee) - Glasgow, Glasgow - 4 June 2020","Work includes anything from general day to day store set up to till working and providing great customer service","Friendly and helpful staff and management","None","ALDI"
"831","Store Assistant (Former Employee) - Wadebridge, Cornwall - 2 June 2020",NA,"Professional, good cultural vibe, 1 hour lunches and benefits.","No discount, No progression, too many levels of management bought in.","ALDI"
"832","E-Commerce Assistant (Former Employee) - Tamworth, Staffordshire - 1 June 2020","a typical day at aldi is entering the workplace and singing on after that its just a case of looking at what needs doing e.g cleaning the floor or shelves emptying bins and during this there is usualy some fun chatter between all the staff","Good pay and staff","None","ALDI"
"833","Deputy Store Manager (Current Employee) - Norwich, Norfolk - 30 May 2020",NA,"Great pay for a supermarket. With the right management a really nice place to work.","Not all managers are the same unfortunately.","ALDI"
"834","Store Assistant (Former Employee) - Kingstown, Cumbria - 30 May 2020","Aldi was a great place to work. The staff at all three stores i was stationed at were unique and great to get along with. Would highly recommend this compnay","Nothing","Poor Management, Toxic Environment","ALDI"
"835","Store Assistant/Cashier (Former Employee) - Wisbech, Cambridgeshire - 27 May 2020",NA,"Pay is good if you aren't on days. Paid lunch.","Can eat into your free time. Rota","ALDI"
"836","Store Assistant (Former Employee) - Archway Station - 25 May 2020","I really enjoyed my experience with Aldi and would highly recommend anyone to work for them, I found them to be very friendly, helpful and they knew exactly what they wanted from you and what you wanted from them.","zero","everything","ALDI"
"837","Stock Assistant (Former Employee) - Dinnington, South Yorkshire - 25 May 2020",NA,"Friendly and helpful staff and management","None","ALDI"
"838","Order Picker (Former Employee) - Logstics North Bolton - 25 May 2020","Friendly and helpful staff and management","Professional, good cultural vibe, 1 hour lunches and benefits.","No discount, No progression, too many levels of management bought in.","ALDI"
"839","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","None","Good pay and staff","None","ALDI"
"840","Store Assistant (Former Employee) - Billingham, North Yorkshire - 11 June 2020","militaristic and bad for generally well being and mental health. Everyone is a snake in the grass out for themselves and management are bullies. You are taught to be rude to customers.","Great pay for a supermarket. With the right management a really nice place to work.","Not all managers are the same unfortunately.","ALDI"
"841","Apprentice (Former Employee) - Dover, Kent - 11 June 2020",NA,"Nothing","Poor Management, Toxic Environment","ALDI"
"842","Store Assistant (Former Employee) - 2 different locations - 11 June 2020","If you are hardworking and honest man/women don't bother to apply. Successfull test on website, first interview then successfull experience day at aldi store then start day by the end of the week.... 3 weeks later email  with information your application was unsuccessful. Whole this process took around 7 weeks, and stopped  me of job hunt . By the size of company was very unprofessional.  Wouldn't  recommend.","Pay is good if you aren't on days. Paid lunch.","Can eat into your free time. Rota","ALDI"
"843","Warehouse Operative (Former Employee) - Sawley, Leicestershire - 11 June 2020",NA,"zero","everything","ALDI"
"844","Selector (Former Employee) - Goldthorpe, South Yorkshire - 11 June 2020","8am to 4.30pm working hours. Learnt about their AMS culture, which was easy and simple to follow. Liked that the company had a very flat structure. However they brought in too many levels which was confusing and information and feedback was then watered down to get your message across to the top. No room for progression only if you were likes and the face fitted in.","Friendly and helpful staff and management","None","ALDI"
"845","Store Assistant (Former Employee) - Witham, Essex - 10 June 2020","They promoted mental health and work life balance, especially during COVID-19 however my contract was terminated due to the impact of my mental health on my day to day routine, sickness and absent when other people seemed to be getting away with it. 5.5 years of service, loyalty and commitment and no loyalty or commitment in return, which was a real shame and I was gutted leaving a company that I so respected and loved.","Professional, good cultural vibe, 1 hour lunches and benefits.","No discount, No progression, too many levels of management bought in.","ALDI"
"846","Store Assistant (Former Employee) - Thornton liverpool - 9 June 2020",NA,"Good pay and staff","None","ALDI"
"847","Dep store manager (Current Employee) - Shirley, West Midlands - 8 June 2020","Professional, good cultural vibe, 1 hour lunches and benefits.","Great pay for a supermarket. With the right management a really nice place to work.","Not all managers are the same unfortunately.","ALDI"
"848","Cleaner (Current Employee) - Darlington, Durham - 7 June 2020","No discount, No progression, too many levels of management bought in.","Nothing","Poor Management, Toxic Environment","ALDI"
"849","assistant (Former Employee) - Congleton - 6 June 2020","You definitely earn your wages. Stores tend to be very supportive  but remember to higher management you are just a number. You will definitely know when you've worked a shift but most of the customers make it worthwhile.","Pay is good if you aren't on days. Paid lunch.","Can eat into your free time. Rota","ALDI"
"850","Housekeeper/Cleaner (Former Employee) - Musselburgh, East Lothian - 4 June 2020",NA,"zero","everything","ALDI"
"851","Customer Assistant/Cashier (Former Employee) - Glasgow, Glasgow - 4 June 2020","Working at ALDI was very fast paced and up beat. ","Friendly and helpful staff and management","None","ALDI"
"852","Store Assistant (Former Employee) - Wadebridge, Cornwall - 2 June 2020","You have a set amount of time to complete specific tasks, whether it be deliveries or tidying up. Till speed have to be fast also.","Professional, good cultural vibe, 1 hour lunches and benefits.","No discount, No progression, too many levels of management bought in.","ALDI"
"853","E-Commerce Assistant (Former Employee) - Tamworth, Staffordshire - 1 June 2020",NA,"Good pay and staff","None","ALDI"
"854","Deputy Store Manager (Current Employee) - Norwich, Norfolk - 30 May 2020","I spent the majority of time on shop floor helping replenish the shelves with my colleagues and helping customers with their queries. ","Great pay for a supermarket. With the right management a really nice place to work.","Not all managers are the same unfortunately.","ALDI"
"855","Store Assistant (Former Employee) - Kingstown, Cumbria - 30 May 2020","I also spent some time on till and easily reached my 1000 items scanned per hour. I really enjoyed working with what seemed to be a second family. I wouldn’t say the job was hard to do but sometimes we did struggle to get out on time due to it being busier than dx expected","Nothing","Poor Management, Toxic Environment","ALDI"
"856","Store Assistant/Cashier (Former Employee) - Wisbech, Cambridgeshire - 27 May 2020",NA,"Pay is good if you aren't on days. Paid lunch.","Can eat into your free time. Rota","ALDI"
"857","Store Assistant (Former Employee) - Archway Station - 25 May 2020","It was a great environment to work in, I worked for the coronavirus period. It was a temporary job but I enjoyed my time there. I would have loved to continue.","zero","everything","ALDI"
"858","Stock Assistant (Former Employee) - Dinnington, South Yorkshire - 25 May 2020",NA,"Friendly and helpful staff and management","None","ALDI"
"859","Order Picker (Former Employee) - Logstics North Bolton - 25 May 2020","If you like to be constantly working in a fast paced environment this is the job for you. Along side this the health competition with work colleges creates a friendly drive to work faster.","Professional, good cultural vibe, 1 hour lunches and benefits.","No discount, No progression, too many levels of management bought in.","ALDI"
"860","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020",NA,"Good pay and staff","None","ALDI"
"861","Store Assistant (Former Employee) - Billingham, North Yorkshire - 11 June 2020","You will work hard if you wish to remain there.","Great pay for a supermarket. With the right management a really nice place to work.","Not all managers are the same unfortunately.","ALDI"
"862","Apprentice (Former Employee) - Dover, Kent - 11 June 2020",NA,"Nothing","Poor Management, Toxic Environment","ALDI"
"863","Store Assistant (Former Employee) - 2 different locations - 11 June 2020","Easy going staff.","Pay is good if you aren't on days. Paid lunch.","Can eat into your free time. Rota","ALDI"
"864","Warehouse Operative (Former Employee) - Sawley, Leicestershire - 11 June 2020",NA,"zero","everything","ALDI"
"865","Selector (Former Employee) - Goldthorpe, South Yorkshire - 11 June 2020","Good place to work. Free canteen fruit, subsidised drink and crisps.","Friendly and helpful staff and management","None","ALDI"
"866","Store Assistant (Former Employee) - Witham, Essex - 10 June 2020",NA,"Professional, good cultural vibe, 1 hour lunches and benefits.","No discount, No progression, too many levels of management bought in.","ALDI"
"867","Store Assistant (Former Employee) - Thornton liverpool - 9 June 2020","Nice training staff.","Good pay and staff","None","ALDI"
"868","Dep store manager (Current Employee) - Shirley, West Midlands - 8 June 2020",NA,"Great pay for a supermarket. With the right management a really nice place to work.","Not all managers are the same unfortunately.","ALDI"
"869","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","I enjoyed my time with Aldi and a shame I had to leave.  ","the people","long hours, time scale to get work done","ALDI"
"870","Sales Assistant (Former Employee) - Romsey, Hampshire - 23 May 2020","I feel that Adli's is very fair and honest employers.  The personal connection between management and staff is essential to how you are treated.","Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"871","Quality Controller (Current Employee) - Neston, Cheshire - 22 May 2020","Being part of a strong team makes the job worth doing. ","Rate of pay","Uncertain hours","ALDI"
"872","Store Assistant (Former Employee) - Royston, Hertfordshire - 21 May 2020","Meeting new and interesting people, learn to recognise what type of shopper people are.","the people","long hours, time scale to get work done","ALDI"
"873","Store Assistant (Former Employee) - Newcastle-under-Lyme, Staffordshire - 20 May 2020","Became a better communicator through guidance and training.","Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"874","Store Assistant (Current Employee) - Ewell, Surrey - 20 May 2020",NA,"Rate of pay","Uncertain hours","ALDI"
"875","Store Assistant (Former Employee) - Swindon, Wiltshire - 18 May 2020","Everyone was treated more like a family, you was well respected. I made loads of friends, even when we were going through some hard times, they would always fully support you","the people","long hours, time scale to get work done","ALDI"
"876","Deputy Manager (Former Employee) - Bristol - 15 May 2020",NA,"Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"877","Store Assistant (Former Employee) - Nottingham, Nottinghamshire - 15 May 2020","The management team are very poor. Unable to answer queries or help. Just want you to work and say nothing. Very inconsistent across the Warehouse. They have no compassion or care about your well being and family commitments. The pay is good, but not worth the misery and lack of work life balance. Benefits are minimum.","Rate of pay","Uncertain hours","ALDI"
"878","Stock Assistant (Former Employee) - Willenhall, West Midlands - 15 May 2020",NA,"the people","long hours, time scale to get work done","ALDI"
"879","Store Assistant (Former Employee) - Newport, Newport - 14 May 2020","during my time with Aldi we had a variety of shifts from 6am starts of overnight the average shift is 10 hours. the typical day shift consists of you either being on till all day if you are on a early shift or you will be expected to work pallets of stock in-between serving on tills. Most of the managers there are fair end friendly but you will have the odd few who have their favorite and will basically let them do anything. the hardest part of the job is the time scale you will have to work to, for example you will have thirty minutes to work a full pallet of household products.","Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"880","Picker (Current Employee) - Goldthorpe, South Yorkshire - 13 May 2020",NA,"Rate of pay","Uncertain hours","ALDI"
"881","Store Assistant (Former Employee) - Seacroft - 11 May 2020","the people","the people","long hours, time scale to get work done","ALDI"
"882","Stores Person (Current Employee) - Wiltshire - 10 May 2020","long hours, time scale to get work done","Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"883","Deputy Store Manager (Current Employee) - North East - 8 May 2020","A very fast paced environment definitely not for a hard worker there is everything target based and very fast paced if you don't  hit targets or you cut corners your out. Too much pressure for such little thanks and pay. hours get cut and given to managers pets","Rate of pay","Uncertain hours","ALDI"
"884","Stock Assistant (Former Employee) - Alfreton, Derbyshire - 6 May 2020",NA,"the people","long hours, time scale to get work done","ALDI"
"885","Store Assistant (Current Employee) - Oldbury, West Midlands - 4 May 2020","Can be stressful, I have days where I am in love with the place (the staff and customers, tasks etc). But I also have quite a few days where I feel undervalued and disrespected. You can try your best but that isn't ever enough until you have broken your back. Your health can suffer from here, working mixed shifts each week from early starts to late's all in the same week which is not right for your health. Some people always have same shift, people are not moved around store enough, can be stuck on tills for too long, times to complete a pallet can be ridiculous. They need to keep on top of personal development or of course we will not be up to standard in a particular section if we have not been on it for so long . With that said, there are some nice staff, some really nice customers too, and there is also a app with the rota which is handy. Although a lot of two faced people here too.","Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"886","Store Assistant (Former Employee) - Birmingham, West Midlands - 2 May 2020",NA,"Rate of pay","Uncertain hours","ALDI"
"887","Sales Associate (Former Employee) - Cheadle Heath, Greater Manchester - 30 April 2020","I met some really lovely people and it was like a family I absolutely loved working at Aldi. Can have a laugh and chat as long as you get yours tasks done.","the people","long hours, time scale to get work done","ALDI"
"888","Supply Chain Manager (Current Employee) - Athe - 29 April 2020",NA,"Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"889","LA , selector (Former Employee) - Cardiff, Cardiff - 28 April 2020","I worked for aldi for about 4 years. Enjoyed working there. However progression up through management is slow due to the amount of external recruitment.","Rate of pay","Uncertain hours","ALDI"
"890","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020",NA,"the people","long hours, time scale to get work done","ALDI"
"891","Sales Assistant (Former Employee) - Romsey, Hampshire - 23 May 2020","QOverall Aldi is a good place to work at. It is ran stroct but professionally. We all work as a team through calm and stresful times. Thenstaff are like a family when on shift","Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"892","Quality Controller (Current Employee) - Neston, Cheshire - 22 May 2020",NA,"Rate of pay","Uncertain hours","ALDI"
"893","Store Assistant (Former Employee) - Royston, Hertfordshire - 21 May 2020","working at aldi was a fairly easy task but it was busy and fast paced, to be completely honest it was one of the easiest jobs ive had, stocking shelves and assisting customers.","the people","long hours, time scale to get work done","ALDI"
"894","Store Assistant (Former Employee) - Newcastle-under-Lyme, Staffordshire - 20 May 2020",NA,"Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"895","Store Assistant (Current Employee) - Ewell, Surrey - 20 May 2020","If you like running at work, if someone looks at your hands or sometimes you don't do something for too long, you couldn't find a better place.  The linen manager will delegate everything to equally lazy alternates and you will do three.  I do not recommend and never again such a thing ...","Rate of pay","Uncertain hours","ALDI"
"896","Store Assistant (Former Employee) - Swindon, Wiltshire - 18 May 2020",NA,"the people","long hours, time scale to get work done","ALDI"
"897","Deputy Manager (Former Employee) - Bristol - 15 May 2020","Nothing","Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"898","Store Assistant (Former Employee) - Nottingham, Nottinghamshire - 15 May 2020","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","Rate of pay","Uncertain hours","ALDI"
"899","Stock Assistant (Former Employee) - Willenhall, West Midlands - 15 May 2020","overall not a bad place to work and decent rate of pay obviously you have a pick rate to hit but full training is given. Fair management and friendly staff only real downside is the uncertainty of your hours.","the people","long hours, time scale to get work done","ALDI"
"900","Store Assistant (Former Employee) - Newport, Newport - 14 May 2020",NA,"Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"901","Picker (Current Employee) - Goldthorpe, South Yorkshire - 13 May 2020","Rate of pay","Rate of pay","Uncertain hours","ALDI"
"902","Store Assistant (Former Employee) - Seacroft - 11 May 2020","Uncertain hours","the people","long hours, time scale to get work done","ALDI"
"903","Stores Person (Current Employee) - Wiltshire - 10 May 2020","Fast and enjoyable! Great people to work with and made great friends.  Management are a little precious towards protecting area managers from the true daily operations!!","Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"904","Deputy Store Manager (Current Employee) - North East - 8 May 2020",NA,"Rate of pay","Uncertain hours","ALDI"
"905","Stock Assistant (Former Employee) - Alfreton, Derbyshire - 6 May 2020","Fast paced, and competitve, no one day is the same, and you are always on the go. The most enjoyable part of the job is working within your store team.","the people","long hours, time scale to get work done","ALDI"
"906","Store Assistant (Current Employee) - Oldbury, West Midlands - 4 May 2020",NA,"Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"907","Store Assistant (Former Employee) - Birmingham, West Midlands - 2 May 2020","Aldi always say they are the best payer just!","Rate of pay","Uncertain hours","ALDI"
"908","Sales Associate (Former Employee) - Cheadle Heath, Greater Manchester - 30 April 2020","they pay 5p more then anyone else and demand a lot more out of you.","the people","long hours, time scale to get work done","ALDI"
"909","Supply Chain Manager (Current Employee) - Athe - 29 April 2020","Haven't had a pay rise for 4 years keep giving u a £250 tax free bonus yearly.","Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"910","LA , selector (Former Employee) - Cardiff, Cardiff - 28 April 2020",NA,"Rate of pay","Uncertain hours","ALDI"
"911","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","They advise they were giving staff a 10%","the people","long hours, time scale to get work done","ALDI"
"912","Sales Assistant (Former Employee) - Romsey, Hampshire - 23 May 2020","bonus thru C-19 about £1 per hour you worked but you lost 10 hours a week","Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"913","Quality Controller (Current Employee) - Neston, Cheshire - 22 May 2020",NA,"Rate of pay","Uncertain hours","ALDI"
"914","Store Assistant (Former Employee) - Royston, Hertfordshire - 21 May 2020","i mainly worked on nights with one other person, i sometimes worked in the day with other staff which was fun and exciting and sometimes challenging. its nice to work as a team providing the general public","the people","long hours, time scale to get work done","ALDI"
"915","Store Assistant (Former Employee) - Newcastle-under-Lyme, Staffordshire - 20 May 2020",NA,"Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"916","Store Assistant (Current Employee) - Ewell, Surrey - 20 May 2020","Overall I enjoy working for such a fast growing company, that's only going to get better, with great products, ranging from fresh produce to special items, all at affordable cost to all families.","Rate of pay","Uncertain hours","ALDI"
"917","Store Assistant (Former Employee) - Swindon, Wiltshire - 18 May 2020",NA,"the people","long hours, time scale to get work done","ALDI"
"918","Deputy Manager (Former Employee) - Bristol - 15 May 2020","a typical day at work would consist of, coming in early in the morning when customers arent here. Stacking the shelves with fruit, veg and meat. Once the shop is open, you may go onto tills or continue stacking shelves in other departments.","Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"919","Store Assistant (Former Employee) - Nottingham, Nottinghamshire - 15 May 2020",NA,"Rate of pay","Uncertain hours","ALDI"
"920","Stock Assistant (Former Employee) - Willenhall, West Midlands - 15 May 2020","I only worked at Aldi for just over a year and only left due to relocating to Northern Ireland (they are not over here). I can honestly say I thoroughly enjoyed my time working at Aldi.","the people","long hours, time scale to get work done","ALDI"
"921","Store Assistant (Former Employee) - Newport, Newport - 14 May 2020",NA,"Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"922","Picker (Current Employee) - Goldthorpe, South Yorkshire - 13 May 2020","For job security and salary Aldi is great the culture however takes some getting used to this is a very corporate environment ","Rate of pay","Uncertain hours","ALDI"
"923","Store Assistant (Former Employee) - Seacroft - 11 May 2020","The offices are to a high standard. The level of responsibility at Assistant level is what you would expect as a manager in another business","the people","long hours, time scale to get work done","ALDI"
"924","Stores Person (Current Employee) - Wiltshire - 10 May 2020",NA,"Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"925","Deputy Store Manager (Current Employee) - North East - 8 May 2020","Poor level of management, unethical approach to promotion n hiring.","Rate of pay","Uncertain hours","ALDI"
"926","Stock Assistant (Former Employee) - Alfreton, Derbyshire - 6 May 2020",NA,"the people","long hours, time scale to get work done","ALDI"
"927","Store Assistant (Current Employee) - Oldbury, West Midlands - 4 May 2020","Not diverse in terms of management,employees. More of a tick box as individuals are not evaluated based on merit but rather favoritism etc","Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"928","Store Assistant (Former Employee) - Birmingham, West Midlands - 2 May 2020",NA,"Rate of pay","Uncertain hours","ALDI"
"929","Sales Associate (Former Employee) - Cheadle Heath, Greater Manchester - 30 April 2020","Selectors are overly worked, misleading working hours even thou you are contreacted 230. Ypubare expected to work 180 or 200 a month. Untill late in the morning.  Unhealthy and not a good balance for individuals with family or social life.","the people","long hours, time scale to get work done","ALDI"
"930","Supply Chain Manager (Current Employee) - Athe - 29 April 2020",NA,"Nothing","stupid manager, one break for 10 hours of work (30 minutes), work for people who like to be humiliated","ALDI"
"931","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","I enjoyed my time with Aldi and a shame I had to leave.  ","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"932","Store Assistant (Former Employee) - Hemel Hempstead, Hertfordshire - 28 April 2020","I feel that Adli's is very fair and honest employers.  The personal connection between management and staff is essential to how you are treated.","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"933","Stock Assistant (Former Employee) - Basildon, Essex - 24 April 2020","Being part of a strong team makes the job worth doing. ","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"934","Selector (Current Employee) - Bolton, Greater Manchester - 24 April 2020","Meeting new and interesting people, learn to recognise what type of shopper people are.","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"935","Picker/Packer (Former Employee) - Cardiff, Cardiff - 24 April 2020","Became a better communicator through guidance and training.","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"936","Deputy Manager/Acting Manager (Former Employee) - Haddington, East Lothian - 23 April 2020",NA,"Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"937","Team Leader (Former Employee) - Rotherham, South Yorkshire - 22 April 2020","Aldi have a strong team and welcome new members with open arms. They train and help others to get to their standard without much stress. Aldi pays an impeccable amount, but the hours are long and stressful","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"938","Stock Assistant (Current Employee) - Colindale, Greater London - 22 April 2020",NA,"Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"939","Sales Assistant (Former Employee) - Mapperley - 20 April 2020","I worked for 4 weeks has a temp manger came over to talk to me and said I was doing a great job and contract ended 3 weeks later and was told over the phone which I think  I should  have been told face to face","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"940","Customer Assistant (Former Employee) - Haverhill, Suffolk - 19 April 2020",NA,"Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"941","Store Assistant (Current Employee) - Ludlow, Shropshire - 17 April 2020","none","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"942","Shop assistant and cashier (Former Employee) - Bootle, Merseyside - 16 April 2020","Money. Great when you get the hours. What you don't get told is, if you work less than your contracted hours, which happens quite a lot. You lose those hours. ","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"943","Store Assistant/Cashier (Former Employee) - Runcorn, Cheshire - 13 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"944","FLT Driver (Former Employee) - Bolton, Greater Manchester - 13 April 2020","Felt blind sided by this. ","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"945","Deputy Manager (Former Employee) - Reading, Berkshire - 13 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"946","Sales Assistant (Former Employee) - Guildford, Surrey - 10 April 2020","As for staff retention. Shocking. New faces everyday. There is no reward for excellw t work eithic. But people who don't do the same level of work are not managed","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"947","HGV Class 1 Driver (Former Employee) - Atherstone, Warwickshire - 9 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"948","Store Assistant (Former Employee) - Middleton, Greater Manchester - 8 April 2020","To much pressure on high pick rate but very good pay so not to bad, also i felt management abused thier power and positions and sometimes fellt as though i was a slave in egypt rather than a employee.","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"949","Assistant Manager (Full Time) (Former Employee) - Banbury, Oxfordshire - 6 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"950","Store Assistant/Cashier (Former Employee) - Glasshouse nottingham - 6 April 2020","kept on your  toes, fast paced and well worth applying. be prepared to have to work at your position. don't be afraid to reach higher than your main role.","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"951","Store Assistant (Former Employee) - West Midlands - 3 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"952","Assistant (Former Employee) - Store #61, 2019, Edinburgh - 26 January 2020","Not much work life balance, unrealistic work loads, not enough drivers to support store delierys and the demand from stores not using correct procedure","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"953","Store Assistant (Former Employee) - Hemel Hempstead, Hertfordshire - 28 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"954","Stock Assistant (Former Employee) - Basildon, Essex - 24 April 2020","Aldi is a fast paced supermarket which sell fresh groceries daily.","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"955","Selector (Current Employee) - Bolton, Greater Manchester - 24 April 2020","The work culture within the store is very quick and fast which intern keep the prices of goods low. With a competitive salary I find that aldi pay well for a supermarket. ","none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"956","Picker/Packer (Former Employee) - Cardiff, Cardiff - 24 April 2020","Working on the shop floor to being a stock assistant , all employees aim to reach daily targets and store objectives whilst working with company policies.","Break room, free hot drinks.","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
"957","Deputy Manager/Acting Manager (Former Employee) - Haddington, East Lothian - 23 April 2020",NA,"none","Very dark in the yeard at night. Public transport not great for the location.","ALDI"
